,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
80,TXN_8035512,Tea,3.0,1.5,4.5,Cash,Takeaway,2023-10-29
81,TXN_8718498,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-04-30
82,TXN_3955361,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-02
83,TXN_9487821,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24
84,TXN_4132730,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-03-12
85,TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16
86,TXN_2725602,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-10
87,TXN_3011323,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-03-07
88,TXN_6289610,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07
89,TXN_8268061,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-08-20
90,TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10
91,TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15
92,TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27
93,TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25
94,TXN_9517146,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-10-30
95,TXN_1621920,Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-10-28
96,TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
97,TXN_7028009,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-02-25
98,TXN_7447872,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-02-25
99,TXN_6955416,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-02-25
100,TXN_3775339,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-04-03
101,TXN_9547091,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-08
102,TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28
103,TXN_4174591,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-08-30
104,TXN_3398520,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-02-03
105,TXN_6171384,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-12
106,TXN_2530938,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-04-27
107,TXN_3314971,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-05-04
108,TXN_3092382,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-02-21
109,TXN_1001832,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-03-16
110,TXN_1535311,Juice,3.0,3.0,9.0,Cash,In-store,2023-03-16
111,TXN_2148617,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-01-10
112,TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24
113,TXN_9790731,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-02
114,TXN_9339456,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-03-29
115,TXN_5179020,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-18
116,TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23
117,TXN_7945375,Juice,3.0,3.0,9.0,Cash,In-store,2023-01-14
118,TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14
119,TXN_9646452,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-16
120,TXN_9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28
121,TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06
122,TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11
123,TXN_2277042,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-04-08
124,TXN_9273729,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-12-19
125,TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14
126,TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18
127,TXN_1443912,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-08
128,TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12
129,TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05
130,TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10
131,TXN_3972167,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-01-23
132,TXN_4878378,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-02-20
133,TXN_2484241,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-07-19
134,TXN_2368126,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-12-06
135,TXN_7943008,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-05-31
136,TXN_8495063,Juice,1.0,3.0,3.0,Cash,In-store,2023-05-31
137,TXN_4811133,Salad,2.0,5.0,10.0,Cash,In-store,2023-08-11
138,TXN_8729570,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-09-03
139,TXN_7623634,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-07-11
140,TXN_9336980,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06
141,TXN_3424331,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-01-18
142,TXN_5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23
143,TXN_8687151,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-10
144,TXN_5265095,Coffee,1.0,2.0,2.0,Cash,In-store,2023-06-23
145,TXN_4108138,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-03
146,TXN_1909796,Smoothie,2.0,4.0,8.0,Cash,Takeaway,2023-07-12
147,TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30
148,TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25
149,TXN_8013032,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-03-07
150,TXN_8301424,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-06-27
151,TXN_1093800,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-11-02
152,TXN_7965998,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02
153,TXN_9238666,Cookie,1.0,1.0,1.0,Cash,Takeaway,2023-07-31
154,TXN_1631695,Tea,2.0,1.5,3.0,Cash,In-store,2023-09-19
155,TXN_1435086,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-02-09
156,TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21
157,TXN_4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02
158,TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21
159,TXN_4689500,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-12-02
160,TXN_8989148,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-11-25
161,TXN_8316826,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-04-17
162,TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13
163,TXN_8005489,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-08-12
164,TXN_6463132,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-02-16
165,TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16
166,TXN_1896955,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-09-23
167,TXN_5075974,Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-04-11
168,TXN_3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13
169,TXN_8955912,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-07
170,TXN_1136554,Smoothie,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-03-26
171,TXN_8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01
172,TXN_8129834,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-07-22
173,TXN_5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14
174,TXN_8166407,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-07-26
175,TXN_6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28
176,TXN_3833797,Coffee,4.0,2.0,8.0,Cash,In-store,2023-01-27
177,TXN_2643815,Cookie,3.0,1.0,3.0,Cash,In-store,2023-12-06
178,TXN_2996519,Cake,5.0,3.0,15.0,Cash,In-store,2023-01-19
179,TXN_8810894,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-02-20
180,TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07
181,TXN_3937509,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-03-20
182,TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16
183,TXN_1714274,Cookie,4.0,1.0,4.0,Cash,In-store,2023-12-27
184,TXN_3800182,Tea,2.0,1.5,3.0,Cash,In-store,2023-10-26
185,TXN_9788956,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-11
186,TXN_6311602,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-05-15
187,TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10
188,TXN_6749847,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-08-15
189,TXN_2143187,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-04-21
190,TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04
191,TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15
192,TXN_7724048,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-11-12
193,TXN_2698591,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-08-05
194,TXN_3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10
195,TXN_4129248,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-07-15
196,TXN_6498163,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-07-15
197,TXN_6717827,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-11-15
198,TXN_9089898,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-01-11
199,TXN_8587583,Cake,1.0,3.0,3.0,Cash,In-store,2023-10-01
200,TXN_8693704,Salad,5.0,5.0,25.0,Cash,In-store,2023-05-04
201,TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26
202,TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28
203,TXN_7058377,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-04-30
204,TXN_6766492,Salad,1.0,5.0,5.0,Digital Wallet,In-store,2023-01-14
205,TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01
206,TXN_4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13
207,TXN_7433461,Cookie,2.0,1.0,2.0,Digital Wallet,In-store,2023-07-09
208,TXN_4068262,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-05-13
209,TXN_5761073,Cookie,1.0,1.0,1.0,Cash,In-store,2023-12-27
210,TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27
211,TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18
212,TXN_9350833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-01-17
213,TXN_8377564,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-07-14
214,TXN_7031118,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-03-29
215,TXN_2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22
216,TXN_6446616,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-09-30
217,TXN_1721827,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-08-22
218,TXN_6334895,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-07-27
219,TXN_4700144,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-12-21
220,TXN_5526852,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28
221,TXN_6846228,Salad,3.0,5.0,15.0,Cash,In-store,2023-11-16
222,TXN_8570890,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-14
223,TXN_3205009,Tea,2.0,1.5,3.0,Cash,In-store,2023-01-03
224,TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20
225,TXN_4530804,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-01-12
226,TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31
227,TXN_7328294,Juice,2.0,3.0,6.0,Cash,In-store,2023-07-07
228,TXN_1908636,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-09-15
229,TXN_9238066,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15
230,TXN_5415901,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-10-21
231,TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02
232,TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13
233,TXN_7549542,Cookie,5.0,1.0,5.0,Cash,Takeaway,2023-07-14
234,TXN_3544789,Tea,4.0,1.5,6.0,Cash,In-store,2023-07-14
235,TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10
236,TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19
237,TXN_1967565,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31
238,TXN_2029497,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06
239,TXN_5003018,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-07-10
240,TXN_7852990,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10
241,TXN_2534066,Salad,2.0,5.0,10.0,Cash,In-store,2023-10-13
242,TXN_2059647,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-29
243,TXN_2485183,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-07-07
244,TXN_7374846,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-05-29
245,TXN_9401522,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-16
246,TXN_8250651,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-03-13
247,TXN_7191245,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-05-22
248,TXN_8982764,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23
249,TXN_1153869,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03
250,TXN_5043774,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-06-08
251,TXN_1746320,Salad,1.0,5.0,5.0,Cash,In-store,2023-11-14
252,TXN_1077129,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-09-12
253,TXN_4865338,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-11-26
254,TXN_5616583,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-10-13
255,TXN_2078474,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-11-03
256,TXN_2130245,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-13
257,TXN_9076216,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-12-17
258,TXN_6371987,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-03-13
259,TXN_9913877,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-05-09
260,TXN_2084377,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-10-22
261,TXN_1842675,Cookie,4.0,1.0,4.0,Credit Card,Takeaway,2023-06-23
262,TXN_8605813,Cookie,1.0,1.0,1.0,Cash,In-store,2023-06-30
263,TXN_9755352,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-05-13
264,TXN_7550498,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-25
265,TXN_2305908,Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-04-25
266,TXN_7557340,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-12-11
267,TXN_1157817,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25
268,TXN_2020318,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-10-12
269,TXN_8692094,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-08-30
270,TXN_5307411,Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-10-21
271,TXN_9703120,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-11-02
272,TXN_1289133,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-09-19
273,TXN_2031459,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-04
274,TXN_1333682,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-01-28
275,TXN_2256622,Cookie,2.0,1.0,2.0,Cash,In-store,2023-10-04
276,TXN_1623966,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-02-26
277,TXN_4912930,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-26
278,TXN_4942692,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-01-15
279,TXN_3723007,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-05-18
280,TXN_7922392,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-05-03
281,TXN_7498727,Salad,3.0,5.0,15.0,Cash,In-store,2023-11-06
282,TXN_1222338,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-10-11
283,TXN_6878866,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-25
284,TXN_1260335,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-09-10
285,TXN_9223242,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-09-10
286,TXN_6244211,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-08-11
287,TXN_5446858,Cookie,1.0,1.0,1.0,Cash,In-store,2023-11-07
288,TXN_4612864,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-02-14
289,TXN_5411381,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-04-28
290,TXN_3047598,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-09-06
291,TXN_5754317,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-01-10
292,TXN_7496926,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-04-23
293,TXN_1726858,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-02-26
294,TXN_7559388,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-02-26
295,TXN_8540499,Cookie,3.0,1.0,3.0,Cash,In-store,2023-01-22
296,TXN_4225756,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-10
297,TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28
298,TXN_6702428,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-11
299,TXN_4639319,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-09
300,TXN_5997803,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-12-03
301,TXN_1340956,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-10-26
302,TXN_1259671,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-10-08
303,TXN_8319993,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-08-06
304,TXN_8894157,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-07-02
305,TXN_5523450,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-07-02
306,TXN_7838964,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-06-15
307,TXN_2773987,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-01-11
308,TXN_1158829,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-10-02
309,TXN_8685737,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-11-02
310,TXN_5634135,Cookie,2.0,1.0,2.0,Digital Wallet,In-store,2023-01-27
311,TXN_1524626,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-12-29
